Sequence,Object,Spec Type,V,B-V,J,J_err,H,H_err,K,K_err,J-K,Ref. B-L,H_alpha,H_alpha_err,Ref. N-O,P_orb (d),P_orb (d) II,Ref. Q & R,P_spin (s),P_spin (s)II,Ref S,e,e_err,Ref. U-V,ax sini (lt-sn),ax_err,Ref. X,Activity Type,Note
13,SXP175,B0-B0.5 IIIe,14.6,-0.04,14.82,0.01,14.73,0.02,14.53,0.02,0.29,"C-30, Rest-1",28.4,1.4,31,87.2(?),0,"1,30",175.4,0,"1,2",0,0,0,0,0,0,"I,II",No binary period found Townsted et al. / Schmidke et al. 2013 ?
14,SXP202B,B0-5 IIIe,15.53,0.05,15.26,0.01,15.05,0.01,14.82,0.02,0.44,"C-26, D,E-2, Rest-1",0,0,0,224.6,0,1,202.52,0,2,0,0,0,0,0,0,"I,F",
15,SXP265,B1-B2 II-VIe,15,-0.46,15.92,0.07,16.12,0.08,16.7,0.11,-0.78,"E-2, Rest-1",0,0,0,146,0,"1,35",264.5,0,"1,2,35",0,0,0,0,0,0,"I,P",
16,SXP292,O9-B2 III-Ve,15.1,0.12,15.09,0.01,14.99,0.02,14.85,0.02,0.37,"E,L-2, Rest-1",31,0,1,0,0,0,292.7,292,"1, (2)",0,0,0,0,0,0,I,
17,SXP304,B0-B2 III-Ve,15.7,-0.04,15.56,0.02,15.4,0.02,15.13,0.03,0.43,1,70.4,6.2,1,"520, (662)",0,"1, (36)",304.5,0,"1,2",0,0,0,0,0,0,I,No confirmed orbital period. Two different suggestions
18,SXP327,B2e,16.62,-0.2,16.55,0.02,16.27,0.02,16.14,0.04,0.41,"D,E-2, Rest-1",0,0,0,45.99,0,"1,2,22",326.8,0,28,0,0,0,0,0,0,I,
19,SXP342,0,14.94,0.01,15.21,0.02,15.17,0.02,15.03,0.03,0.18,"D,E-2, Rest-1",0,0,0,0,0,0,341.9,0,"1,2",0,0,0,0,0,0,0,
20,SXP523,0,16,-0.25,16.58,0,16.52,0,16.61,0,-0.03,1,4,1,38,0,0,0,522.5,(521.42),"1,2, (56)",0,0,0,0,0,0,I,
21,SXP645,B0-B0.5 III-Ve,14.69,-0.04,15.11,0.01,15.09,0.01,15.06,0.03,0.05,"C-26, D,E-2, Rest-1",0,0,0,135.4,0,26,644.6,0,"1, 37",0,0,0,0,0,0,0,
22,SXP707,B1 Ve ,15.79,0.03,16.39,0.1,16.61,0,16.65,0,-0.26,"C-16, Rest-2",0,0,0,29.75,0,16,0,0,0,0,0,0,0,0,0,0,707sn possible not the spin period of the pulsar (Atel 5674 & 3154)
23,SXP723,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,723,0,"1,39",0,0,0,0,0,0,I,
24,SXP726,B0-B0.5 e,15.6,-0.02,15.47,0.01,15.37,0.02,15.04,0.03,0.43,"C-26, Rest-1",0,0,0,0,0,0,726,0,"1,2",0,0,0,0,0,0,0,
25,SXP893,B1 e,16.15,0.2,15.75,0.02,15.46,0.02,15.22,0.02,0.53,"D,E-2, Rest-1",38.5,0,2,"91.5, (182) ",0,"2, (22)",894.36,0,60,0,0,0,0,0,0,I,"3 suggested orbital period detected for this source, none confirmed yet"
